symbol,status
OXTUSDT,TRADING
SUNBTC,TRADING
SUNUSDT,TRADING
AVAXBNB,TRADING
AVAXBTC,TRADING
AVAXBUSD,TRADING
AVAXUSDT,TRADING
HNTBTC,TRADING
HNTUSDT,TRADING
BAKEBNB,TRADING
BURGERBNB,TRADING
SXPBIDR,TRADING
LINKBKRW,BREAK
FLMBNB,BREAK
FLMBTC,TRADING
FLMBUSD,TRADING
FLMUSDT,TRADING
SCRTBTC,TRADING
SCRTETH,TRADING
CAKEBNB,TRADING
CAKEBUSD,TRADING
SPARTABNB,TRADING
UNIUPUSDT,TRADING
UNIDOWNUSDT,TRADING
ORNBTC,TRADING
ORNUSDT,TRADING
TRXNGN,TRADING
SXPTRY,TRADING
UTKBTC,TRADING
UTKUSDT,TRADING
XVSBNB,TRADING
XVSBTC,TRADING
XVSBUSD,TRADING
XVSUSDT,TRADING
ALPHABNB,TRADING
ALPHABTC,TRADING
ALPHABUSD,TRADING
ALPHAUSDT,TRADING
VIDTBTC,TRADING
VIDTBUSD,TRADING
AAVEBNB,TRADING
BTCBRL,TRADING
USDTBRL,TRADING
AAVEBTC,TRADING
AAVEETH,TRADING
AAVEBUSD,TRADING
AAVEUSDT,TRADING
AAVEBKRW,BREAK
NEARBNB,TRADING
NEARBTC,TRADING
NEARBUSD,TRADING
NEARUSDT,TRADING
SXPUPUSDT,TRADING
SXPDOWNUSDT,TRADING
DOTBKRW,BREAK
SXPGBP,TRADING
FILBNB,TRADING
FILBTC,TRADING
FILBUSD,TRADING
FILUSDT,TRADING
FILUPUSDT,TRADING
FILDOWNUSDT,TRADING
