Actual Time, Return Status, Trade Time, Price 
1612770463.9092224,200,1612770463634,39259.21000000
1612770493.911583,200,1612770493187,39270.46000000
1612770523.916005,200,1612770523673,39243.61000000
1612770553.8174093,200,1612770553530,39235.68000000
1612770583.9202075,200,1612770583598,39220.47000000
1612770613.8264415,200,1612770613388,39234.02000000
1612770643.8252528,200,1612770643673,39246.07000000
1612770673.8297553,200,1612770673631,39223.73000000
1612770703.831864,200,1612770703613,39217.63000000
1612770733.8361187,200,1612770733308,39216.36000000
1612770763.8403444,200,1612770763553,39214.57000000
1612770793.8464243,200,1612770793430,39209.05000000
1612770823.9560637,200,1612770823532,39188.71000000
1612770853.8504653,200,1612770853622,39232.92000000
1612770883.8612053,200,1612770883624,39258.42000000
1612770913.8636878,200,1612770913528,39275.99000000
1612770943.8614273,200,1612770943557,39267.24000000
1612770973.864837,200,1612770973670,39250.00000000
1612771003.9745657,200,1612771003541,39224.57000000
1612771033.7720673,200,1612771033452,39250.38000000
1612771063.8759274,200,1612771063675,39226.97000000
1612771093.8411484,200,1612771093668,39248.90000000
1612771123.8827183,200,1612771123642,39242.56000000
1612771153.8868988,200,1612771153554,39252.53000000
1612771183.892455,200,1612771183554,39270.00000000
1612771213.8994443,200,1612771213673,39273.94000000
1612771243.801312,200,1612771243589,39284.54000000
1612771273.9058166,200,1612771273338,39289.55000000
1612771303.9052575,200,1612771303699,39333.00000000
1612771333.9087727,200,1612771333389,39305.84000000
1612771363.8148272,200,1612771363555,39171.95000000
1612771393.8211114,200,1612771393677,39178.09000000
1612771424.0294847,200,1612771423674,39197.00000000
1612771453.8245795,200,1612771453631,39264.98000000
1612771483.8379047,200,1612771483603,39235.87000000
1612771513.8311086,200,1612771513588,39208.02000000
1612771543.8359563,200,1612771543651,39223.78000000
1612771573.8439283,200,1612771573630,39228.45000000
1612771603.9558644,200,1612771603647,39200.84000000
1612771633.8438683,200,1612771633385,39197.00000000
1612771663.8531687,200,1612771663712,39180.00000000
1612771694.0562334,200,1612771693653,39184.90000000
1612771723.8680987,200,1612771723568,39192.11000000
1612771753.7561178,200,1612771753329,39180.19000000
1612771784.4787068,200,1612771784014,39177.21000000
1612771813.849262,200,1612771813606,39190.51000000
1612771843.8764126,200,1612771843606,39186.46000000
1612771874.1848311,200,1612771873538,39172.00000000
1612771904.0848472,200,1612771903749,39173.10000000
1612771933.8819313,200,1612771933554,39183.83000000
1612771963.8905199,200,1612771963392,39154.49000000
1612771993.7882657,200,1612771993594,39122.01000000
1612772024.0007043,200,1612772023631,39163.11000000
1612772053.745896,200,1612772053388,39165.78000000
1612772083.9026852,200,1612772083536,39209.90000000
1612772113.9035602,200,1612772113672,39238.00000000
1612772144.316097,200,1612772144087,39225.55000000
1612772174.0232332,200,1612772173581,39256.39000000
1612772203.8143635,200,1612772203558,39271.45000000
1612772233.9220915,200,1612772233643,39287.39000000
1612772263.9299257,200,1612772263637,39271.36000000
1612772293.9287465,200,1612772293335,39262.46000000
1612772324.1413596,200,1612772323752,39258.03000000
1612772353.7365737,200,1612772353573,39193.49000000
1612772383.9366975,200,1612772383640,39130.93000000
1612772413.8355248,200,1612772413632,39129.00000000
1612772443.9438643,200,1612772443614,39149.02000000
1612772473.8453965,200,1612772473592,39170.83000000
1612772503.9510102,200,1612772503681,39201.66000000
1612772533.9546113,200,1612772533554,39211.13000000
1612772563.9581525,200,1612772563641,39193.15000000
1612772593.9612107,200,1612772593634,39166.00000000
1612772623.8641005,200,1612772623539,39159.93000000
1612772653.9693885,200,1612772653574,39176.83000000
1612772683.8686626,200,1612772683553,39145.14000000
1612772714.179906,200,1612772713618,39148.52000000
1612772743.8759542,200,1612772743675,39151.62000000
1612772773.9813714,200,1612772773600,39199.42000000
1612772803.8862607,200,1612772803608,39214.98000000
1612772834.1950061,200,1612772833991,39220.57000000
1612772863.892228,200,1612772863624,39212.40000000
1612772894.211374,200,1612772893558,39205.01000000
